time,A__lag_000min,B__lag_000min,A__lag_005min,B__lag_005min
2026-01-01 00:20:00,0.6499999999999999,0.5499999999999999,0.55,0.44999999999999996
2026-01-01 00:25:00,0.75,0.6499999999999999,0.6499999999999999,0.5499999999999999
2026-01-01 00:30:00,0.9,0.7999999999999999,0.75,0.6499999999999999
2026-01-01 00:35:00,1.1,1.0,0.9,0.7999999999999999
2026-01-01 00:40:00,1.35,1.25,1.1,1.0
2026-01-01 01:30:00,0.9500000000000001,0.85,0.30000000000000004,0.25
2026-01-01 01:35:00,1.75,1.6,0.9500000000000001,0.85
2026-01-01 01:40:00,2.5,2.3,1.75,1.6
2026-01-01 01:45:00,3.5,3.3,2.5,2.3
2026-01-01 01:50:00,2.25,2.1,3.5,3.3
