timestamp,pc1,pc2,t2,spe,t2_limit_ratio,spe_limit_ratio,t2_status,spe_status,overall_status,score_valid,invalid_reason,status
2026-02-01 07:30:00,-1.2074970179008055,1.1095614705108774,1.4208564334648068,0.6978634535903727,0.2223025178573506,0.11860625452110737,normal,normal,normal,True,,normal
2026-02-01 07:35:00,-0.6774005013131541,-0.34030465708877383,0.2913385756304706,1.455050559580304,0.04558187399250141,0.2472949344499705,normal,normal,normal,True,,normal
2026-02-01 07:40:00,0.05041528950618598,-1.4675063319887307,1.236618924324597,0.40079672881123246,0.1934773239806114,0.06811790843042949,normal,normal,normal,True,,normal
2026-02-01 07:45:00,0.054688427136635444,-1.1060520003789696,0.7032269848521102,4.311020345783348,0.11002457790661029,0.7326848450754089,normal,normal,normal,True,,normal
2026-02-01 07:50:00,-0.7251757239033039,-0.0527361003646878,0.2593453170834525,5.6870859117900086,0.040576314133001716,0.9665557863316587,normal,normal,normal,True,,normal
2026-02-01 07:55:00,-1.2404731132187978,1.0586798219958349,1.3971361039499781,3.02939533398603,0.21859131322656758,0.5148646661166251,normal,normal,normal,True,,normal
2026-02-01 08:00:00,-1.481799369027356,2.719235060356088,5.317814278900502,3.4646894436442466,0.8320077073618247,0.5888456199780747,normal,normal,normal,True,,normal
2026-02-01 08:05:00,-1.6261742685702918,2.569603121541159,5.0837771651851975,2.452745588353936,0.7953910313728865,0.4168594386640387,normal,normal,normal,True,,normal
2026-02-01 08:10:00,-0.6718975710452627,1.3104843468472984,1.2064167021594723,0.9778327350182735,0.18875198377447816,0.1661887832812683,normal,normal,normal,True,,normal
2026-02-01 08:15:00,-0.05477843250515859,1.7467320773701291,1.7516832385119836,0.744100161034314,0.27406259016624085,0.1264644718601873,normal,normal,normal,True,,normal
2026-02-01 08:20:00,-0.74562789003811,2.4864225745511828,3.8188965610712535,1.8166566387422618,0.5974919780548995,0.3087521470906505,normal,normal,normal,True,,normal
2026-02-01 08:25:00,-0.8341260262651771,3.2009422324958003,6.2185331756820865,1.3792895119059954,0.9729312193509766,0.2344188710065921,normal,normal,normal,True,,normal
2026-02-01 08:30:00,0.23208161383944403,2.6829572392459067,4.155597245635252,2.062719028637562,0.6501710582068243,0.3505719877684294,normal,normal,normal,True,,normal
2026-02-01 08:40:00,,,,,,,not_scored,not_scored,not_scored,False,insufficient_context,not_scored
2026-02-01 08:45:00,-0.8516525951696308,0.13465955554307005,0.36589981638372027,37.59411010772115,0.057247480146387364,6.389353918722564,normal,abnormal,abnormal,True,,abnormal
2026-02-01 08:50:00,-0.29416626730301926,-0.08430165300188894,0.0464896040795386,17.795818535460345,0.007273610336458227,3.0245105568562587,normal,abnormal,abnormal,True,,abnormal
2026-02-01 08:55:00,-0.34845717488330885,0.26713053391450103,0.10044697695928476,2.2005988745266416,0.015715603183607197,0.37400552911626195,normal,normal,normal,True,,normal
2026-02-01 09:00:00,-0.5818379963211743,0.8409622494785179,0.5716137957833554,1.079596128487331,0.08943281182516795,0.18348410786751215,normal,normal,normal,True,,normal
2026-02-01 09:05:00,-0.5311863430022538,0.49562183008274263,0.27920392291145535,2.4824225398455737,0.0436833261946894,0.4219032220057779,normal,normal,normal,True,,normal
2026-02-01 09:10:00,-0.25920959356325934,-0.9347702152517119,0.5341742514962041,2.3405903293635126,0.08357514403661466,0.3977979515991107,normal,normal,normal,True,,normal
2026-02-01 09:15:00,-0.5162490382166387,-0.7210729831893538,0.42888741787918316,1.95995265574882,0.06710231282085521,0.3331062005627168,normal,normal,normal,True,,normal
2026-02-01 09:20:00,-0.3948685957504133,0.14166253312059798,0.08793373914934978,1.6275160250587253,0.013757823209375025,0.2766065179544446,normal,normal,normal,True,,normal
2026-02-01 09:25:00,-0.7970379281915615,-0.04557279798014477,0.3125565925255894,1.5871069014252452,0.04890157503240351,0.2697387348974733,normal,normal,normal,True,,normal
2026-02-01 09:30:00,-1.3978585350041868,0.6008528438045044,1.1648173062541145,1.6820680192433584,0.1822434793025977,0.2858779702329793,normal,normal,normal,True,,normal
2026-02-01 09:35:00,0.09248842268291904,1.55729445056122,1.395360907793594,1.8168905906251764,0.21831357188271305,0.3087919086749947,normal,normal,normal,True,,normal
2026-02-01 09:40:00,0.8239439780027062,0.4659612717152107,0.4572902023519526,2.2639095268647647,0.0715461189322576,0.38476557007625234,normal,normal,normal,True,,normal
2026-02-01 09:45:00,0.19912029090037142,-0.3139882208657006,0.07598735312859098,1.3544140555337616,0.011888730999098374,0.2301911317624252,normal,normal,normal,True,,normal
2026-02-01 09:50:00,0.3865184030998581,-1.3441328572285896,1.1096123413987524,5.030683832943666,0.17360629232400385,0.854996151518727,normal,normal,normal,True,,normal
2026-02-01 09:55:00,-0.758879870168641,-1.6775245370901177,1.8965349299108403,10.514914258239873,0.29672560872001463,1.7870753803830142,normal,abnormal,abnormal,True,,abnormal
2026-02-01 10:00:00,-2.1206921408290262,-0.7733546064345662,2.547363204103634,10.133196185078004,0.3985520569368856,1.7222000086927265,normal,abnormal,abnormal,True,,abnormal
